team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
Stanford University,112,CA,Division 1,1,Pac 12,pac-12
State Maritime University of New York,561,NY,Division 3,3,Metro,metro
State University of New York at Brockport,470,NY,Division 3,3,SUNYAC,sunyac
State University of New York at Cobleskill,305,NY,Division 3,3,NEAC,neac
State University of New York at Cortland,471,NY,Division 3,3,SUNYAC,sunyac
State University of New York at Delhi,652,NY,Division 3,3,Allegheny,amcc
State University of New York at Geneseo,346,NY,Division 3,3,SUNYAC,sunyac
State University of New York at New Paltz,472,NY,Division 3,3,SUNYAC,sunyac
State University of New York at Old Westbury,338,NY,Division 3,3,Skyline,skyline
State University of New York at Oswego,16,NY,Division 3,3,SUNYAC,sunyac
State University of New York at Potsdam,501,NY,Division 3,3,SUNYAC,sunyac
State University of New York Institute of Technology,10001462,NY,Division 3,3,NEAC,neac
Stephens College,8462,MO,Independent,independen,NONE,NONE
Sterling College,10020657,KS,NAIA,4,KCAC,kcac
Stevens Institute,313,NJ,Division 3,3,Middle Atlantic,mid-atlantic
Stevenson University,10004803,MD,Division 3,3,Middle Atlantic,mid-atlantic
Stonehill College Skyhawks,10023198,MA,Division 2,2,Northeast 10,ne10
Stony Brook University,418,NY,America East,americaeast,NONE,NONE
Suffern Community College,10009623,NY,NONE,NONE,NONE,NONE
Suffolk County Community College,8699,VA,NONE,NONE,NONE,NONE
SUNY-Canton,10009598,NY,NONE,NONE,NONE,NONE
Susquehanna University,314,PA,Division 3,3,Landmark,landmark
Swarthmore College,315,PA,Division 3,3,Centennial,centennial
Sweet Briar College,316,VA,Division 3,3,ODAC,odac
Sydney University,10000424,NS,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Syracuse University,317,NY,NONE,NONE,NONE,NONE
Tabor College,10004629,KS,NAIA,4,KCAC,kcac
Temple University,10002679,PA,NONE,NONE,NONE,NONE
Tennessee Wesleyan University,503,TN,NONE,NONE,NONE,NONE
Texas A&M University,80,TX,Division 1,1,SEC,sec
Texas Christian University,318,TX,Division 1,1,Big 12,big12
Texas State University,10002680,TX,NONE,NONE,NONE,NONE
Texas Tech University,10007654,TX,NONE,NONE,NONE,NONE
Texas-Permian Basin,529,TX,Division 2,2,New South,nsisc
The Citadel,10009632,SC,NONE,NONE,NONE,NONE
The College of New Jersey,52,NJ,Division 3,3,Metro,metro
The College of Saint Rose,493,NY,Division 2,2,Northeast 10,ne10
The Master's University,10011277,CA,NAIA,4,PCSC,paccoast
The University of Akron,209,OH,Division 1,1,Mid-American,mac
Thomas More,10015010,KY,NAIA,4,Mid-South,mid-south
Thomas University,10003289,GA,NAIA,4,Independent,independen
Tiffin University,10003277,OH,Division 2,2,GMAC,GMAC
Towson University,320,MD,Division 1,1,Colonial,caa
Transylvania University,115,KY,Division 3,3,Heartland,hcac
Trent University ,10003223,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Trinity College (Connecticut),321,CT,Division 3,3,NESCAC,nescac
Trinity Lutheran College,10006395,WA,NAIA,4,Independent,independen
Trinity University (Texas),322,TX,Division 3,3,SCAC,scac
Trinity Western University,10003304,BC,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Triton College,10009625,IL,NONE,NONE,NONE,NONE
Truman State University,126,MO,Division 2,2,GLVC,glvc
Tufts University,49,MA,Division 3,3,NESCAC,nescac
Tulane University,349,LA,Division 1,1,American Athletic,american
U.S. Air Force Academy,337,CO,Division 1,1,Mountain West,mwc
U.S. Coast Guard Academy,324,CT,Division 3,3,NEWMAC,newmac
U.S. Merchant Marine Academy,311,NY,Division 3,3,Metro,metro
U.S. Military Academy (Army),326,NY,Division 1,1,ECAC,ecac
U.S. Naval Academy (Navy),327,MD,Division 1,1,Patriot,patriot
UCLA,107,CA,Division 1,1,Pac 12,pac-12
UMBC,138,MD,Division 1,1,America East,americaeast
UNC Pembroke,10007516,NC,Mountain East,mountain-east,NONE,NONE
Union College (Kentucky),348,KY,NAIA,4,Appalachian Athletic,App
Union College (New York),328,NY,Division 3,3,Liberty,liberty
Université de Montréal,10003221,PQ,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
